Epoch Train Time,Mode,VAE REC,VAE NLL,Epoch,AR PPL,SVI KL,VAE KL,AR NLL,SVI NLL,SVI REC,SVI PPL,LR,VAE PPL
25.560073852539062,Val,tensor(102.8115),tensor(107.1297),8,tensor(1.),tensor(0.),tensor(4.3183),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(133.5694)
25.560073852539062,Test,tensor(101.9599),tensor(106.2114),8,tensor(1.),tensor(0.),tensor(4.2515),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(127.2385)
26.05219006538391,Val,tensor(102.6000),tensor(106.3960),9,tensor(1.),tensor(0.),tensor(3.7960),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(129.1658)
26.05219006538391,Test,tensor(101.6673),tensor(105.3952),9,tensor(1.),tensor(0.),tensor(3.7279),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(122.5874)
25.58181118965149,Val,tensor(102.5611),tensor(106.0124),10,tensor(1.),tensor(0.),tensor(3.4512),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(126.9215)
25.58181118965149,Test,tensor(101.6075),tensor(104.9991),10,tensor(1.),tensor(0.),tensor(3.3917),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(120.3920)
25.032705783843994,Val,tensor(102.1940),tensor(105.5469),11,tensor(1.),tensor(0.),tensor(3.3529),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(124.2508)
25.032705783843994,Test,tensor(101.2766),tensor(104.5523),11,tensor(1.),tensor(0.),tensor(3.2757),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(117.9622)
25.28315043449402,Val,tensor(101.8904),tensor(105.1523),12,tensor(1.),tensor(0.),tensor(3.2619),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(122.0306)
25.28315043449402,Test,tensor(100.9987),tensor(104.1813),12,tensor(1.),tensor(0.),tensor(3.1826),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(115.9823)
25.93919587135315,Val,tensor(101.9437),tensor(104.9224),13,tensor(1.),tensor(0.),tensor(2.9787),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(120.7559)
25.93919587135315,Test,tensor(100.9890),tensor(103.9041),13,tensor(1.),tensor(0.),tensor(2.9151),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(114.5247)
